filename,label,confidence,species_info,frame_number,timestamp,video_source,metadata
Birds_Beak_w2_d1_s2_c1_Morning_f000.jpg,positive,0.7,{'californicus': True},0,0.0,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f001.jpg,positive,0.7,{'californicus': True},3156,52.6526,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f002.jpg,positive,0.7,{'californicus': True},6312,105.3052,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f003.jpg,positive,0.7,{'californicus': True},9468,157.9578,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f004.jpg,positive,0.7,{'californicus': True},12624,210.6104,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f005.jpg,positive,0.7,{'californicus': True},15781,263.2796833333333,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f006.jpg,positive,0.7,{'californicus': True},18937,315.9322833333333,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f007.jpg,positive,0.7,{'californicus': True},22093,368.5848833333333,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f008.jpg,positive,0.7,{'californicus': True},25249,421.23748333333333,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
Birds_Beak_w2_d1_s2_c1_Morning_f009.jpg,positive,0.7,{'californicus': True},28405,473.89008333333334,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,"{'plant_type': 'Birds_Beak', 'week': '2', 'day': 1, 'site': 2, 'shift': 'Morning', 'camera': 1}"
