timestamp,timestamp_seconds,frame_filename,has_bee,bee_count,quadrants,quadrant_names,needs_annotation_refinement
00:26,26,P1000471_ventura_t0026.jpg,True,1,7,bottom-left,True
01:44,104,P1000471_ventura_t0104.jpg,True,1,4,middle-left,True
01:55,115,P1000471_ventura_t0115.jpg,True,1,4,middle-left,True
02:03,123,P1000471_ventura_t0123.jpg,True,1,4,middle-left,True
02:20,140,P1000471_ventura_t0140.jpg,True,1,4,middle-left,True
02:26,146,P1000471_ventura_t0146.jpg,True,1,7,bottom-left,True
02:29,149,P1000471_ventura_t0149.jpg,True,1,7,bottom-left,True
02:44,164,P1000471_ventura_t0164.jpg,True,1,7,bottom-left,True
03:01,181,P1000471_ventura_t0181.jpg,True,1,7,bottom-left,True
03:09,189,P1000471_ventura_t0189.jpg,True,1,7,bottom-left,True
03:34,214,P1000471_ventura_t0214.jpg,True,1,7,bottom-left,True
03:39,219,P1000471_ventura_t0219.jpg,True,1,9,bottom-right,True
03:50,230,P1000471_ventura_t0230.jpg,True,1,5,middle-center,True
03:56,236,P1000471_ventura_t0236.jpg,True,1,5,middle-center,True
04:01,241,P1000471_ventura_t0241.jpg,True,1,5,middle-center,True
04:12,252,P1000471_ventura_t0252.jpg,True,1,8,bottom-middle,True
04:24,264,P1000471_ventura_t0264.jpg,True,1,9,bottom-right,True
04:31,271,P1000471_ventura_t0271.jpg,True,1,3,top-right,True
04:42,282,P1000471_ventura_t0282.jpg,True,1,5,middle-center,True
04:43,283,P1000471_ventura_t0283.jpg,True,1,8,bottom-middle,True
05:02,302,P1000471_ventura_t0302.jpg,True,1,4,middle-left,True
05:05,305,P1000471_ventura_t0305.jpg,True,1,4,middle-left,True
05:10,310,P1000471_ventura_t0310.jpg,True,1,4,middle-left,True
05:17,317,P1000471_ventura_t0317.jpg,True,1,4,middle-left,True
05:35,335,P1000471_ventura_t0335.jpg,True,1,4,middle-left,True
05:46,346,P1000471_ventura_t0346.jpg,True,1,5,middle-center,True
05:47,347,P1000471_ventura_t0347.jpg,True,2,"8, 4","bottom-middle, middle-left",True
05:53,353,P1000471_ventura_t0353.jpg,True,1,4,middle-left,True
05:59,359,P1000471_ventura_t0359.jpg,True,1,4,middle-left,True
06:04,364,P1000471_ventura_t0364.jpg,True,1,7,bottom-left,True
06:06,366,P1000471_ventura_t0366.jpg,True,1,7,bottom-left,True
06:29,389,P1000471_ventura_t0389.jpg,True,1,9,bottom-right,True
06:30,390,P1000471_ventura_t0390.jpg,True,1,9,bottom-right,True
06:34,394,P1000471_ventura_t0394.jpg,True,1,5,middle-center,True
06:35,395,P1000471_ventura_t0395.jpg,True,1,5,middle-center,True
06:36,396,P1000471_ventura_t0396.jpg,True,2,"5, 7","middle-center, bottom-left",True
06:39,399,P1000471_ventura_t0399.jpg,True,3,"4, 7, 9","middle-left, bottom-left, bottom-right",True
06:41,401,P1000471_ventura_t0401.jpg,True,1,7,bottom-left,True
06:43,403,P1000471_ventura_t0403.jpg,True,1,1,top-left,True
06:51,411,P1000471_ventura_t0411.jpg,True,1,1,top-left,True
06:52,412,P1000471_ventura_t0412.jpg,True,2,"1, 2","top-left, top-middle",True
